"","PearsonCorr","Pvals","Padj","FDR"
"Vitvi00g00859",-0.440199493156902,0.00721598030084795,1,0.0201597231281922
"Vitvi00g01805",-0.101584498420824,0.555509279837126,1,0.57292447798941
"Vitvi00g04005",0.663836406061092,1.01620006133771e-05,0.0327622899775279,0.000227515902621723
"Vitvi00g04006",-0.675004170824618,6.31632119611022e-06,0.0203638195362593,0.000159092340127026
"Vitvi00g04017",0.509422162367264,0.00150722386046954,1,0.00794595383340774
"Vitvi00g04022",-0.502247202333923,0.00180036184177854,1,0.00909775325688719
"Vitvi00g04024",-0.343452351803737,0.0402822983143647,1,0.0550064082022498
"Vitvi00g04030",0.430524779021586,0.00876561976487691,1,0.0224053790519084
"Vitvi00g04035",0.314428209397787,0.0618077618339936,1,0.0779609640660389
"Vitvi00g04037",0.495072242300581,0.0021423652123623,1,0.0104177759346246
"Vitvi00g04040",-0.39182592248032,0.0181099832764267,1,0.0308760370614487
"Vitvi00g04236",-0.394622801833796,0.0172310183587185,1,0.0308760370614487
"Vitvi00g04250",-0.545296962533973,0.000583320667650517,1,0.00375374417665722
"Vitvi00g04274",0.275729352856521,0.103584434864025,1,0.123779176427582
"Vitvi00g04275",-0.584247307520468,0.000183111790540964,0.590352412704068,0.00159554706136235
"Vitvi00g04303",0.208006353909306,0.223466571725695,1,0.252437360631969
"Vitvi00g04304",-0.420850064886269,0.010590608809886,1,0.0239272058886283
"Vitvi00g04313",0.720382602476694,7.27925607343024e-07,0.00234683215807391,3.57723386702336e-05
"Vitvi00g04315",-0.39182592248032,0.0181099832764267,1,0.0308760370614487
"Vitvi00g04361",-0.478898349698169,0.00312849885508842,1,0.012181497957494
"Vitvi00g04411",-0.237030496315255,0.163946637501507,1,0.189721449858169
"Vitvi00g04412",-0.420850064886269,0.010590608809886,1,0.0239272058886283
"Vitvi00g04449",-0.419750492781696,0.0108170978520595,1,0.0243876387937342
"Vitvi00g04463",-0.114799360533468,0.504965768061545,1,0.525333861319916
"Vitvi00g04498",-0.545296962533973,0.000583320667650517,1,0.00375374417665722
"Vitvi00g04499",-0.602696642800707,0.000100304716366618,0.323382405565977,0.000986696899990895
"Vitvi00g04500",-0.67618685082502,5.99900909659352e-06,0.0193408053274175,0.000154726442619343
"Vitvi00g04501",0.437672562033847,0.00759614356666715,1,0.0209315956059273
"Vitvi00g04505",0.057399680266734,0.739498154110041,1,0.748083479400933
"Vitvi00g04508",0.057399680266734,0.739498154110041,1,0.748083479400933
"Vitvi00g04522",-0.546507180803783,0.00056388190945942,1,0.00375374417665722
"Vitvi00g04563",-0.36280178007437,0.0296534634974876,1,0.0437141135417924
"Vitvi00g04564",-0.420850064886269,0.010590608809886,1,0.0239272058886283
"Vitvi00g04567",-0.449874207292219,0.00590725996608227,1,0.0181553919262624
"Vitvi00g04584",-0.502247202333923,0.00180036184177854,1,0.00909775325688719
"Vitvi00g04598",-0.420850064886269,0.010590608809886,1,0.0239272058886283
"Vitvi00g04634",0.816811769737353,1.23759826433005e-09,3.99001680420009e-06,1.53462184776927e-07
"Vitvi00g04636",0.36280178007437,0.0296534634974875,1,0.0437141135417924
"Vitvi00g04688",-0.365922961700429,0.0281775586427065,1,0.0426499760864253
"Vitvi00g04696",-0.411175350750953,0.0127285678576514,1,0.0256000641129558
"Vitvi00g04704",-0.539664117584992,0.00068185379122198,1,0.00426026477306137
"Vitvi00g04706",-0.198530638477829,0.245746157469947,1,0.275831726674384
"Vitvi00g04707",0.40897272190048,0.0132632256396861,1,0.0264280837220939
"Vitvi00g04728",0.663836406061092,1.01620006133771e-05,0.0327622899775279,0.000227515902621723
"Vitvi00g04731",-0.130608640826773,0.447699103241463,1,0.471539336442495
"Vitvi00g04737",-0.610172997269464,7.77574147678707e-05,0.250689905211615,0.000850026432545797
"Vitvi00g04744",-0.411175350750953,0.0127285678576514,1,0.0256000641129558
"Vitvi00g04747",-0.440199493156902,0.00721598030084795,1,0.0201597231281922
"Vitvi00g04752",0.246705210450572,0.146913319045593,1,0.171301461339238
"Vitvi00g04763",-0.401500636615636,0.0152203400780548,1,0.027645282485436
"Vitvi00g04777",-0.256379924585888,0.131210130347675,1,0.154218541830443
"Vitvi00g04799",-0.645746403000758,2.10820008752169e-05,0.0679683708216992,0.000384072761977788
"Vitvi00g04812",-0.420850064886269,0.010590608809886,1,0.0239272058886283
"Vitvi00g04860",-0.285404066991838,0.0915479263669638,1,0.110709120257724
"Vitvi00g04869",-0.394622801833796,0.0172310183587185,1,0.0308760370614487
"Vitvi01g00002",-0.072560356014874,0.67408182426832,1,0.685997412071042
"Vitvi01g00012",-0.478898349698169,0.00312849885508842,1,0.012181497957494
"Vitvi01g00036",-0.351573041633746,0.0354971658889758,1,0.0500844038626075
"Vitvi01g00050",-0.343452351803737,0.0402822983143647,1,0.0550064082022498
"Vitvi01g00052",-0.401500636615636,0.0152203400780548,1,0.027645282485436
"Vitvi01g00061",-0.401500636615636,0.0152203400780548,1,0.027645282485436
"Vitvi01g00066",0.57399680266734,0.000251925466762095,0.812207704840993,0.00196660461220579
"Vitvi01g00083",0.416827510782546,0.0114392506999706,1,0.0256000641129558
"Vitvi01g00088",-0.583558515095565,0.00018714223369946,0.60334656144706,0.00160464511023154
"Vitvi01g00095",-0.416147681933822,0.011588218990186,1,0.0256000641129558
"Vitvi01g00104",-0.411175350750953,0.0127285678576514,1,0.0256000641129558
"Vitvi01g00145",-0.337223121567062,0.0442962269402098,1,0.0597285803660546
"Vitvi01g00148",-0.130608640826773,0.447699103241463,1,0.471539336442495
"Vitvi01g00160",-0.420850064886269,0.010590608809886,1,0.0239272058886283
"Vitvi01g00188",-0.440199493156902,0.00721598030084795,1,0.0201597231281922
"Vitvi01g00193",0.420850064886269,0.010590608809886,1,0.0239272058886283
"Vitvi01g00203",-0.256379924585888,0.131210130347675,1,0.154218541830443
"Vitvi01g00217",0.372476494209687,0.0252748166470031,1,0.0388583733285352
"Vitvi01g00228",-0.315698241467037,0.0607065836515666,1,0.0770543408238782
"Vitvi01g00234",-0.449874207292219,0.00590725996608227,1,0.0181553919262624
"Vitvi01g00258",-0.053210927744241,0.757917561540451,1,0.762410676569864
"Vitvi01g00271",0.645746403000758,2.10820008752171e-05,0.0679683708217001,0.000384072761977788
"Vitvi01g00280",-0.12197432056681,0.478528864785604,1,0.501879329885747
"Vitvi01g00284",-0.337223121567062,0.0442962269402098,1,0.0597285803660546
"Vitvi01g00286",-0.39182592248032,0.0181099832764267,1,0.0308760370614487
"Vitvi01g00291",-0.420850064886269,0.010590608809886,1,0.0239272058886283
"Vitvi01g00300",0.545296962533973,0.000583320667650517,1,0.00375374417665722
"Vitvi01g00317",0.401500636615636,0.0152203400780549,1,0.027645282485436
"Vitvi01g00318",-0.0628856418795575,0.715590124288945,1,0.724352452341463
"Vitvi01g00325",-0.624221522900733,4.73386834040076e-05,0.15261991529452,0.000593851810484515
"Vitvi01g00337",-0.358748001667088,0.0316645308614795,1,0.0461929626685113
"Vitvi01g00371",-0.411175350750953,0.0127285678576514,1,0.0256000641129558
"Vitvi01g00394",-0.343452351803737,0.0402822983143647,1,0.0550064082022498
"Vitvi01g00412",-0.39182592248032,0.0181099832764267,1,0.0308760370614487
"Vitvi01g00437",0.314428209397787,0.0618077618339936,1,0.0779609640660389
"Vitvi01g00441",-0.39182592248032,0.0181099832764267,1,0.0308760370614487
"Vitvi01g00463",0.740343236686949,2.45302599601654e-07,0.000790855581115734,1.55069721787399e-05
"Vitvi01g00477",-0.478898349698169,0.00312849885508842,1,0.012181497957494
"Vitvi01g00481",-0.449874207292219,0.00590725996608227,1,0.0181553919262624
"Vitvi01g00483",0.401500636615636,0.0152203400780549,1,0.027645282485436
"Vitvi01g00497",-0.337223121567062,0.0442962269402098,1,0.0597285803660546
"Vitvi01g00508",0.67618685082502,5.99900909659363e-06,0.0193408053274179,0.000154726442619343
"Vitvi01g00518",-0.159632783232723,0.352382996354793,1,0.381748246051026
"Vitvi01g00521",-0.469223635562852,0.00389036020229628,1,0.0141938810210227
"Vitvi01g00541",-0.149958069097406,0.382692613049351,1,0.409220890371843
"Vitvi01g00542",-0.430524779021586,0.00876561976487687,1,0.0224053790519084
"Vitvi01g00555",0.420850064886269,0.010590608809886,1,0.0239272058886283
"Vitvi01g00556",0.545296962533973,0.000583320667650517,1,0.00375374417665722
"Vitvi01g00557",-0.420850064886269,0.010590608809886,1,0.0239272058886283
"Vitvi01g00558",-0.602696642800707,0.000100304716366618,0.323382405565977,0.000986696899990895
