run_accession	sample_alias	library_name	experiment_title	fastq_bytes
SRR29330595	MV032-T2-S7-3	MV032-T2-S7-3	Illumina HiSeq 3000 sequencing: RNA-Seq of Microvine MV032 during ripening	1689472838;1838294280
SRR29330596	MV032-T2-S7-2	MV032-T2-S7-2	Illumina HiSeq 3000 sequencing: RNA-Seq of Microvine MV032 during ripening	1411783992;1618157525
SRR29330598	MV032-T1-S6-3	MV032-T1-S6-3	Illumina HiSeq 3000 sequencing: RNA-Seq of Microvine MV032 during ripening	3114383402;3540603945
SRR29330599	MV102-T6-SH11-3	MV102-T6-SH11-3	Illumina HiSeq 3000 sequencing: RNA-Seq of Microvine MV102 during ripening	2548030137;2936074126
SRR29330601	MV032-T1-S6-2	MV032-T1-S6-2	Illumina HiSeq 3000 sequencing: RNA-Seq of Microvine MV032 during ripening	1996898582;2283449470
SRR29330603	MV102-T5-R10-3	MV102-T5-R10-3	Illumina HiSeq 3000 sequencing: RNA-Seq of Microvine MV102 during ripening	1782954015;1812145865
SRR29330609	MV102-T3-R8-3	MV102-T3-R8-3	Illumina HiSeq 3000 sequencing: RNA-Seq of Microvine MV102 during ripening	2520978989;2875736943
SRR29330611	MV102-T3-R8-1	MV102-T3-R8-1	Illumina HiSeq 3000 sequencing: RNA-Seq of Microvine MV102 during ripening	2241164272;2551733334
SRR29330616	MV102-T1-S6-3	MV102-T1-S6-3	Illumina HiSeq 3000 sequencing: RNA-Seq of Microvine MV102 during ripening	3340774417;3812097266
SRR29330624	MV032-T6-SH11-2	MV032-T6-SH11-2	Illumina HiSeq 3000 sequencing: RNA-Seq of Microvine MV032 during ripening	2876917713;3141264733
SRR29330626	MV032-T5-R10-3	MV032-T5-R10-3	Illumina HiSeq 3000 sequencing: RNA-Seq of Microvine MV032 during ripening	2769230800;2723776196
SRR29330629	MV032-T4-R9-3	MV032-T4-R9-3	Illumina HiSeq 3000 sequencing: RNA-Seq of Microvine MV032 during ripening	2316574762;2536862214
SRR29330633	MV032-T3-R8-2	MV032-T3-R8-2	Illumina HiSeq 3000 sequencing: RNA-Seq of Microvine MV032 during ripening	2005663527;2232813289
SRR29330594	MV032-T3-R8-1	MV032-T3-R8-1	Illumina HiSeq 3000 sequencing: RNA-Seq of Microvine MV032 during ripening	2661351271;2924230851
SRR29330600	MV102-T6-SH11-2	MV102-T6-SH11-2	Illumina HiSeq 3000 sequencing: RNA-Seq of Microvine MV102 during ripening	1859193635;2142461426
