"gene","VITVI_ID","Athal_ID","FDR_historical","direction","log2FC_historical","FDR_new","log2FC_new"
"Vitvi01g00639","VIT_01s0137g00750","AT1G67820",0.0403658698367747,"Down",-1.25675992798968,0.0403816965626233,-0.932037984065777
"Vitvi01g00742","VIT_01s0127g00800","AT5G13700",0.0218256255681713,"Down",-1.10214083840436,0.456662326388943,-0.0131027675334706
"Vitvi01g00816","VIT_01s0026g00570","AT1G24020",0.0343844481661059,"Down",-5.2297870756105,0.00023665135377553,-0.443207550684529
"Vitvi01g01016","VIT_01s0026g02470","AT1G56423",0.0192639920892395,"Down",-1.17746490562091,0.0954975253280522,0.915314736936074
"Vitvi01g01030","VIT_01s0026g02620","AT1G69530",0.00727935511525236,"Down",-2.5455088529436,0.0159763020967251,-0.306911588001927
"Vitvi01g01169","VIT_01s0010g00020","AT5G44680",0.0335679469347618,"Down",-1.03461197708403,NA,-0.941942708130475
"Vitvi01g01507","VIT_01s0010g02240","AT3G27350",0.0416831177592387,"Down",-1.18412527637684,0.111982089320789,-0.84719891244271
"Vitvi01g01752","VIT_14s0068g00010","AT5G39000",0.0216678646591667,"Down",-1.60474971999126,0.000717421737840393,-0.273354859010305
"Vitvi01g01753","VIT_01s0244g00100","AT1G28110",0.0284646959634175,"Down",-1.26679455211592,0.0445550649624065,-0.289766583951644
"Vitvi01g04343","VIT_06s0009g03750","AT2G13370",0.0160356826598639,"Not_DE",-0.964956258697172,0.429289833619937,-0.013409194973959
"Vitvi02g00069","VIT_02s0025g00730","AT4G23690",0.0459760840795282,"Down",-1.48543213705573,0.0358338774403616,0.924710619806765
"Vitvi02g00449","VIT_02s0025g04910","AT4G37740",0.0119229233534433,"Down",-1.61866408374501,0.00634525461763933,-0.192724739360535
"Vitvi02g01381","VIT_02s0025g03610","AT4G11610",0.0244302739583954,"Down",-1.34045124864603,0.121870681190977,-0.15924210915681
"Vitvi02g01507",NA,NA,0.0393800134648994,"Down",-2.40106105822532,0.0209559881209855,-0.151265976009742
"Vitvi02g04072","VIT_02s0025g03500","AT4G11450",0.0234992380185278,"Down",-1.13680127439594,0.11323231015648,-0.527344407391885
"Vitvi02g04134","VIT_00s0561g00030","AT4G38020",0.00423817763196689,"Down",-2.31397883742107,0.119037998550319,-0.0770452396569786
