#node	identifier	domain_summary_url	annotation	other_names_and_aliases
BAK1	3702.Q94F62	BRASSINOSTEROID INSENSITIVE 1-associated receptor kinase 1; Dual specificity kinase acting on both serine/threonine- and tyrosine-containing substrates. Controls the expression of genes associated with innate immunity in the absence of pathogens or elicitors. Involved in brassinosteroid (BR) signal transduction. Phosphorylates BRI1. May be involved in changing the equilibrium between plasma membrane-located BRI1 homodimers and endocytosed BRI1- BAK1 heterodimers. Interaction with MSBP1 stimulates the endocytosis of BAK1 and suppresses brassinosteroid signaling. Acts in pathogen- associ [...] 	https://smart.embl.de/smart/DDvec.cgi?smart=615:Pfam_LRRNT_2(25|65)+Pfam_LRR_8(92|152)+Pfam_LRR_1(165|188)+TRANS(227|249)+Pfam_Pkinase_Tyr(289|563)+	2.7.10.1,2.7.11.1,3TL8,3UIM,3ULZ,4M7E,4MN8,829480,AT4G33430,At4g33430,AtBAK1,AtSERK3,BAK1,BAK1_ARATH,BRI1-associated receptor kinase,BRI1-associated receptor kinase 1,C0LGS0,EC 2.7.10.1,EC 2.7.11.1,ELG,F17M5.190,NM_119497.5,NP_567920,NP_567920.1,Protein ELONGATED,Q94F62,Q9SZC0,SERK3,Somatic embryogenesis receptor kinase 3,Somatic embryogenesis receptor-like kinase 3,ath:AT4G33430
EDS1	3702.Q9SU72	Protein EDS1; Positive regulator of basal resistance and of effector- triggered immunity specifically mediated by TIR-NB-LRR (TNL) resistance proteins. Disruption by bacterial effector of EDS1-TIR-NB-LRR resistance protein interactions constitutes the first step in resistance activation. Acts redundantly with salicylic acid to regulate resistance gene-mediated signaling. Triggers early plant defenses and hypersensitive response independently of PAD4, and then recruits PAD4 to potentiate plant defenses through the accumulation of salicylic acid. Nuclear localization is essential for bas [...] 	https://smart.embl.de/smart/DDvec.cgi?smart=623:Pfam_Lipase_3(54|197)+	823964,AT3G48090,Alpha/beta-Hydrolases superfamily protein,At3g48090,B9DFM5,EDS1,EDS1-90,EDS1A,EDS1C_ARATH,Enhanced disease susceptibility 1,Enhanced disease susceptibility 1 protein,NM_001035752.1,NM_114678.4,NP_001030829.1,NP_190392,NP_190392.1,Protein EDS1,Q9SU72,T17F15.40,ath:AT3G48090
F19I3.16	3702.O64757	Disease resistance family protein / LRR family protein.	https://smart.embl.de/smart/DDvec.cgi?smart=905:SIGNAL(1|28)+Pfam_LRRNT_2(34|72)+LRR(111|134)+Pfam_LRR_1(138|160)+LRR(220|243)+LRR(246|270)+LRR(319|345)+LRR(372|395)+LRR(396|420)+LRR(662|686)+LRR(734|758)+LRR(832|855)+LRR(856|879)+	818058,AT2G34930,At2g34930,F19I3.16,F19I3_16,NM_129046.3,NP_181039,NP_181039.1,O64757,O64757_ARATH,Putative disease resistance protein,ath:AT2G34930
GSO2	3702.Q9FIZ3	LRR receptor-like serine/threonine-protein kinase GSO2; Together with GSO1, receptor-like serine/threonine-kinase required during the development of the epidermal surface in embryos and cotyledons. Involved in the nuclear division phase of megagametogenesis. In coordination with GSO2, regulates root growth through control of cell division and cell fate specification. Controls seedling root growth by modulating sucrose response after germination. Receptor of the peptide hormones CIF1 and CIF2 required for contiguous Casparian strip diffusion barrier formation in roots. Belongs to the pr [...] 	https://smart.embl.de/smart/DDvec.cgi?smart=1252:SIGNAL(1|22)+Pfam_LRRNT_2(27|69)+LRR(143|166)+LRR(167|190)+LRR(191|215)+LRR(239|263)+LRR(287|310)+LRR(311|335)+LRR(360|384)+LRR(408|432)+LRR(480|504)+Pfam_LRR_8(600|660)+LRR(671|695)+LRR(743|767)+LRR(792|816)+TRANS(876|898)+Pfam_Pkinase_Tyr(948|1232)+	2.7.11.1,834499,AT5G44700,At5g44700,EDA23,GSO2,GSO2_ARATH,K23L20.3,Leucine-rich repeat transmembrane protein kinase,NM_123837.3,NP_199283,NP_199283.1,Protein EMBRYO SAC DEVELOPMENT ARREST 23,Protein GASSHO 2,Q9FIZ3,ath:AT5G44700
MDIS2	3702.C0LGQ4	Protein MALE DISCOVERER 2; Involved in the pollen tube perception of the female signal by binding an unidentified female attractant. May be involved in the regulation of root hairs development.	https://smart.embl.de/smart/DDvec.cgi?smart=678:SIGNAL(1|25)+Pfam_LRRNT_2(26|68)+Pfam_LRR_1(119|142)+TRANS(320|342)+Pfam_Pkinase(395|648)+	2.7.11.1,827598,AT4G18640,At4g18640,AtMDIS2,C0LGQ4,F28A21.50,MDIS2,MDIS2_ARATH,MRH1,NM_117980.5,NP_193599,NP_193599.3,Protein MALE DISCOVERER 2,Protein MORPHOGENESIS OF ROOT HAIR 1,Q9M0L9,Q9SN49,ath:AT4G18640
PAD4	3702.Q9S745	Lipase-like PAD4; Probable lipase required downstream of MPK4 for accumulation of the plant defense-potentiating molecule, salicylic acid, thus contributing to the plant innate immunity against invasive biotrophic pathogens and to defense mechanisms upon recognition of microbe- associated molecular patterns (MAMPs). Participates in the regulation of various molecular and physiological processes that influence fitness. Together with SG101, required for programmed cell death (PCD) triggered by NBS-LRR resistance proteins (e.g. RPS4, RPW8.1 and RPW8.2) in response to the fungal toxin fumo [...] 	https://smart.embl.de/smart/DDvec.cgi?smart=541:Pfam_Lipase_3(80|188)+	2.3.1.-,824408,AT3G52430,Alpha/beta-Hydrolases superfamily protein,At3g52430,AtPAD4,B0ZUC0,EDS9,F22O6.190,Lipase-like PAD4,NM_115103.4,NP_190811,NP_190811.1,PAD4,PAD4_ARATH,Protein ENHANCED DISEASE SUSCEPTIBILITY 9,Protein PHYTOALEXIN DEFICIENT 4,Q9S745,ath:AT3G52430
RCH2	3702.Q9LHP4	Receptor-like protein kinase 2; Belongs to the protein kinase superfamily. Ser/Thr protein kinase family.	https://smart.embl.de/smart/DDvec.cgi?smart=1141:SIGNAL(1|33)+LRR(152|176)+LRR(297|321)+LRR(441|465)+LRR(489|513)+LRR(537|561)+TRANS(726|748)+Pfam_Pkinase_Tyr(786|1063)+	2.7.11.1,822011,AT3G24240,At3g24240,K13K6.1,NM_113329.3,NP_189066,NP_189066.1,Q84RP5,Q9LHP4,RCH2,RCH2_ARATH,Receptor-like protein kinase 2,ath:AT3G24240
RLP34	3702.Q9SRL2	Receptor-like protein 34.	https://smart.embl.de/smart/DDvec.cgi?smart=957:Pfam_LRRNT_2(39|91)+LRR(144|164)+LRR(168|192)+LRR(216|240)+LRR(264|287)+LRR(312|336)+Pfam_LRR_1(387|409)+Pfam_LRR_8(488|547)+LRR(581|605)+LRR(628|651)+LRR(652|675)+LRR(789|812)+LRR(813|837)+TRANS(910|932)+	820272,AT3G11010,At3g11010,AtRLP34,F9F8.17,NM_001337906.1,NP_001326087,NP_001326087.1,Q8GYR8,Q9SRL2,RLP34,RLP34_ARATH,Receptor like protein 34,Receptor-like protein 34,ath:AT3G11010
SAG101	3702.Q4F883	Senescence-associated carboxylesterase 101; Acyl hydrolase that triggers the leaf senescence onset. Can use triolein as substrate to produce oleic acids.	https://smart.embl.de/smart/DDvec.cgi?smart=537:Pfam_Lipase_3(59|207)+	3.1.1.1,4NFU,831345,AT5G14930,At5g14930,F2G14.50,F4K898,NM_121497.5,NM_180708.2,NP_568307,NP_568307.3,NP_851039.1,Q4F883,Q8LCZ8,Q9LFR2,SAG101,SG101_ARATH,Senescence-associated carboxylesterase 101,Senescence-associated gene 101,ath:AT5G14930
SOBIR1	3702.Q9SKB2	Leucine-rich repeat receptor-like serine/threonine/tyrosine-protein kinase SOBIR1; Dual specificity kinase acting on both serine/threonine- and tyrosine-containing substrates. Acting as a counterplayer of BIR1, promotes the activation of plant defense and cell death. Component of the RLP23-SOBIR1-BAK1 complex that mediates NLP-triggered immunity. Functions as an inhibitor/regulator of abscission, probably by regulating membrane trafficking during abscission.	https://smart.embl.de/smart/DDvec.cgi?smart=641:SIGNAL(1|31)+Pfam_LRR_8(111|171)+TRANS(284|306)+Pfam_Pkinase_Tyr(347|636)+	2.7.10.1,2.7.11.1,6R1H,817746,AT2G31880,At2g31880,EVR,F20M17.8,NM_128746.3,NP_180747,NP_180747.1,Protein EVERSHED,Protein SUPPRESSOR OF BIR1-1,Q93Z40,Q9SKB2,SBIR1_ARATH,SOBIR1,ath:AT2G31880
